ImageX	ImageY	BModeResponse	DopplerResponse	DopplerCentroidDistance	frame
[
281.193481	151.000000	-107374176.000000	-107374176.000000	-107374176.000000	2;
284.080597	148.000000	-107374176.000000	-107374176.000000	-107374176.000000	3;
280.781342	148.000000	-107374176.000000	-107374176.000000	-107374176.000000	4;
284.214355	149.000000	-107374176.000000	-107374176.000000	-107374176.000000	5;
287.682739	157.000000	-107374176.000000	-107374176.000000	-107374176.000000	6;
281.223969	149.000000	-107374176.000000	-107374176.000000	-107374176.000000	7;
294.062408	168.000000	-107374176.000000	-107374176.000000	-107374176.000000	8;
292.776031	168.000000	-107374176.000000	-107374176.000000	-107374176.000000	9;
296.285583	177.000000	-107374176.000000	-107374176.000000	-107374176.000000	10;
293.156769	180.000000	-107374176.000000	-107374176.000000	-107374176.000000	11;
285.093628	179.000000	-107374176.000000	-107374176.000000	-107374176.000000	12;
285.304810	183.000000	-107374176.000000	-107374176.000000	-107374176.000000	13;
286.285065	187.000000	-107374176.000000	-107374176.000000	-107374176.000000	14;
285.813019	185.000000	-107374176.000000	-107374176.000000	-107374176.000000	15;
292.592987	192.000000	-107374176.000000	-107374176.000000	-107374176.000000	16;
286.947968	194.000000	-107374176.000000	-107374176.000000	-107374176.000000	17;
289.403961	192.000000	-107374176.000000	-107374176.000000	-107374176.000000	18;
293.440125	194.000000	-107374176.000000	-107374176.000000	-107374176.000000	19;
296.890472	198.000000	-107374176.000000	-107374176.000000	-107374176.000000	20;
292.058014	194.000000	-107374176.000000	-107374176.000000	-107374176.000000	21;
298.569427	195.000000	-107374176.000000	-107374176.000000	-107374176.000000	22;
298.967377	197.000000	-107374176.000000	-107374176.000000	-107374176.000000	23;
298.489044	194.000000	-107374176.000000	-107374176.000000	-107374176.000000	24;
303.721527	196.000000	-107374176.000000	-107374176.000000	-107374176.000000	25;
307.699554	198.000000	-107374176.000000	-107374176.000000	-107374176.000000	26;
302.079742	199.000000	-107374176.000000	-107374176.000000	-107374176.000000	27;
307.832916	199.000000	-107374176.000000	-107374176.000000	-107374176.000000	28;
303.720978	200.000000	-107374176.000000	-107374176.000000	-107374176.000000	29;
298.258209	199.000000	-107374176.000000	-107374176.000000	-107374176.000000	30;
298.129120	202.000000	-107374176.000000	-107374176.000000	-107374176.000000	31;
300.822357	204.000000	-107374176.000000	-107374176.000000	-107374176.000000	32;
303.619232	203.000000	-107374176.000000	-107374176.000000	-107374176.000000	33;
305.595673	202.000000	-107374176.000000	-107374176.000000	-107374176.000000	34;
300.868408	204.000000	-107374176.000000	-107374176.000000	-107374176.000000	35;
301.804596	203.000000	-107374176.000000	-107374176.000000	-107374176.000000	36;
299.980347	201.000000	-107374176.000000	-107374176.000000	-107374176.000000	37;
300.531219	202.000000	-107374176.000000	-107374176.000000	-107374176.000000	38;
303.799316	203.000000	-107374176.000000	-107374176.000000	-107374176.000000	39;
312.309418	205.000000	-107374176.000000	-107374176.000000	-107374176.000000	40;
314.545044	204.000000	-107374176.000000	-107374176.000000	-107374176.000000	41;
319.527557	204.000000	-107374176.000000	-107374176.000000	-107374176.000000	42;
317.519714	203.000000	-107374176.000000	-107374176.000000	-107374176.000000	43;
313.977997	202.000000	-107374176.000000	-107374176.000000	-107374176.000000	44;
309.054596	202.000000	-107374176.000000	-107374176.000000	-107374176.000000	45;
309.329193	205.000000	-107374176.000000	-107374176.000000	-107374176.000000	46;
312.877472	198.000000	-107374176.000000	-107374176.000000	-107374176.000000	47;
309.285400	203.000000	-107374176.000000	-107374176.000000	-107374176.000000	48;
310.374908	203.000000	-107374176.000000	-107374176.000000	-107374176.000000	49;
313.514099	202.000000	-107374176.000000	-107374176.000000	-107374176.000000	50;
312.025879	202.000000	-107374176.000000	-107374176.000000	-107374176.000000	51;
314.881104	204.000000	-107374176.000000	-107374176.000000	-107374176.000000	52;
315.493469	205.000000	-107374176.000000	-107374176.000000	-107374176.000000	53;
