ImageX	ImageY	BModeResponse	DopplerResponse	DopplerCentroidDistance	frame
[
358.216797	178.005035	224.279999	2405.810059	1.000000	2;
373.302948	128.454285	1999.829956	2405.810059	1156.000000	2;
373.302948	128.454285	1999.829956	2405.810059	1156.000000	2;
373.302948	128.454285	1999.829956	2405.810059	1156.000000	2;
382.992828	220.871246	409.630005	2405.810059	2089.000000	2;
357.993652	177.393448	176.539993	2137.250000	4.000000	3;
373.979218	128.278519	1689.719971	2137.250000	1156.000000	3;
373.979218	128.278519	1689.719971	2137.250000	1156.000000	3;
373.979218	128.278519	1689.719971	2137.250000	1156.000000	3;
378.871887	219.017532	270.950012	2137.250000	2125.000000	3;
357.987610	174.995895	136.449997	2214.780029	4.000000	4;
372.400696	125.878975	1706.369995	2214.780029	1225.000000	4;
372.400696	125.878975	1706.369995	2214.780029	1225.000000	4;
372.400696	125.878975	1706.369995	2214.780029	1225.000000	4;
379.173096	216.983307	233.009995	2214.780029	2194.000000	4;
357.353912	174.964066	94.879997	1734.689941	16.000000	5;
373.991364	127.959000	856.359985	1734.689941	1225.000000	5;
378.974915	217.487366	232.820007	1734.689941	2273.000000	5;
358.462219	173.959351	73.320000	1809.260010	9.000000	6;
376.842682	126.877930	737.940002	1809.260010	1369.000000	6;
384.573364	217.922424	444.089996	1809.260010	2152.000000	6;
358.493896	175.458328	246.050003	1446.069946	0.000000	7;
346.906036	196.476227	119.290001	1446.069946	554.000000	7;
380.477112	217.700424	216.639999	1446.069946	2061.000000	7;
358.441284	174.478775	278.859985	1403.140015	0.000000	8;
346.400848	195.934402	170.270004	1403.140015	484.000000	8;
384.126526	219.572830	507.510010	1403.140015	2125.000000	8;
358.649963	176.852890	225.669998	1260.250000	9.000000	9;
344.425690	197.083115	159.059998	1260.250000	601.000000	9;
381.194183	219.613297	448.940002	1260.250000	2152.000000	9;
358.056183	177.775070	246.470001	1191.520020	9.000000	10;
343.097778	197.989426	154.119995	1191.520020	625.000000	10;
377.492676	219.600143	304.760010	1191.520020	2141.000000	10;
357.809814	181.018524	235.919998	851.669983	25.000000	11;
343.089722	201.613815	282.010010	851.669983	592.000000	11;
377.724365	221.690628	237.190002	851.669983	2290.000000	11;
356.024536	180.440186	158.229996	1222.709961	36.000000	12;
340.994995	203.002777	269.790009	1222.709961	829.000000	12;
355.025208	141.493881	42.459999	1222.709961	785.000000	12;
