ImageX	ImageY	BModeResponse	DopplerResponse	DopplerCentroidDistance	frame
[
358.468628	51.436863	310.989990	9870.980469	1.000000	2;
315.786896	139.946625	167.889999	9870.980469	9781.000000	2;
295.350037	95.449158	85.160004	9870.980469	6085.000000	2;
358.276855	50.998722	265.950012	9097.929688	4.000000	3;
315.890961	139.471786	187.179993	9097.929688	9864.000000	3;
246.894608	224.602097	637.609985	9097.929688	38029.000000	3;
360.004791	50.920795	233.320007	8960.650391	9.000000	4;
363.060455	239.639069	1194.939941	8960.650391	34596.000000	4;
363.060455	239.639069	1194.939941	8960.650391	34596.000000	4;
363.060455	239.639069	1194.939941	8960.650391	34596.000000	4;
244.788025	222.883316	522.330017	8960.650391	37673.000000	4;
355.257660	50.568535	290.940002	10124.309570	4.000000	5;
312.758484	139.967697	156.970001	10124.309570	9833.000000	5;
244.584702	224.790268	474.989990	10124.309570	38194.000000	5;
353.468262	50.465759	295.109985	9466.860352	9.000000	6;
311.256927	139.963684	132.449997	9466.860352	10093.000000	6;
243.425797	224.848434	485.089996	9466.860352	38372.000000	6;
352.321686	50.419792	298.290009	9119.809570	4.000000	7;
308.325531	138.903748	233.960007	9119.809570	9265.000000	7;
350.493744	239.610077	769.830017	9119.809570	35721.000000	7;
352.095276	49.688446	310.510010	8879.559570	9.000000	8;
306.742340	138.905746	288.179993	8879.559570	9602.000000	8;
239.995331	223.854294	480.059998	8879.559570	39076.000000	8;
351.438568	50.411049	303.760010	10087.160156	16.000000	9;
306.737152	139.294083	310.010010	10087.160156	9781.000000	9;
362.112915	241.444336	1137.300049	10087.160156	36481.000000	9;
362.112915	241.444336	1137.300049	10087.160156	36481.000000	9;
362.112915	241.444336	1137.300049	10087.160156	36481.000000	9;
351.190979	50.495979	320.859985	9419.549805	9.000000	10;
306.261597	140.004013	264.579987	9419.549805	9621.000000	10;
354.415710	240.683899	482.730011	9419.549805	36864.000000	10;
349.804718	50.085136	270.619995	10652.320313	9.000000	11;
347.071442	239.791046	749.799988	10652.320313	36100.000000	11;
306.698212	140.477875	187.160004	10652.320313	10170.000000	11;
350.406891	50.547482	300.429993	9993.209961	9.000000	12;
468.020172	255.114471	1284.810059	9993.209961	45833.000000	12;
468.020172	255.114471	1284.810059	9993.209961	45833.000000	12;
468.020172	255.114471	1284.810059	9993.209961	45833.000000	12;
307.258148	139.616531	213.550003	9993.209961	9544.000000	12;
351.368042	50.493980	306.489990	9630.120117	4.000000	13;
362.580322	241.512955	1129.089966	9630.120117	35721.000000	13;
362.580322	241.512955	1129.089966	9630.120117	35721.000000	13;
