ImageX	ImageY	BModeResponse	DopplerResponse	DopplerCentroidDistance	frame
[
289.915192	88.331329	103.040001	4782.669922	289.000000	2;
309.994019	48.311642	222.050003	4782.669922	676.000000	2;
307.624390	2.899874	1662.000000	4782.669922	5329.000000	2;
309.510376	48.321693	209.889999	4764.379883	484.000000	3;
304.758148	2.900524	1726.640015	4764.379883	4761.000000	3;
289.455597	88.324448	93.019997	4764.379883	433.000000	3;
303.177063	2.898578	1545.030029	4202.629883	5329.000000	4;
287.998260	87.493500	74.570000	4202.629883	260.000000	4;
309.372742	48.360825	169.500000	4202.629883	676.000000	4;
311.513275	47.851295	247.199997	4520.029785	361.000000	5;
302.859375	2.895884	1630.489990	4520.029785	4356.000000	5;
341.796326	222.844589	4124.950195	4520.029785	18769.000000	5;
311.612915	47.830135	247.960007	4569.700195	484.000000	6;
308.935242	2.897530	1746.859985	4569.700195	4761.000000	6;
376.007477	217.956482	3275.260010	4569.700195	17161.000000	6;
317.525970	48.247364	226.710007	5053.359863	441.000000	7;
312.845642	2.899565	1724.290039	5053.359863	4624.000000	7;
289.174500	87.994545	126.540001	5053.359863	421.000000	7;
312.087769	2.899344	1575.469971	5716.589844	5476.000000	8;
316.350464	48.334969	204.050003	5716.589844	729.000000	8;
352.886597	222.351639	3597.709961	5716.589844	16900.000000	8;
292.445526	88.478966	79.860001	5933.569824	200.000000	9;
340.181152	224.978607	4126.020020	5933.569824	15625.000000	9;
305.154785	2.900692	1613.660034	5933.569824	6400.000000	9;
300.657532	2.900108	1727.560059	6272.450195	6400.000000	10;
315.669922	48.325245	238.559998	6272.450195	1089.000000	10;
386.313690	217.754410	2146.489990	6272.450195	15385.000000	10;
315.260712	48.361412	275.059998	6237.879883	900.000000	11;
286.628021	88.961746	86.000000	6237.879883	292.000000	11;
306.914368	2.902622	1646.890015	6237.879883	5929.000000	11;
310.519684	2.905939	1717.709961	5229.930176	5476.000000	12;
312.419952	49.278328	203.070007	5229.930176	676.000000	12;
285.119720	88.963661	103.480003	5229.930176	370.000000	12;
315.397949	48.832466	301.489990	5909.359863	529.000000	13;
307.253326	3.253781	2079.270020	5909.359863	4900.000000	13;
286.082550	88.501938	103.099998	5909.359863	346.000000	13;
316.875031	48.823780	285.380005	5921.640137	484.000000	14;
308.652344	3.255547	2068.860107	5921.640137	4761.000000	14;
287.517914	88.528130	94.919998	5921.640137	340.000000	14;
318.451294	49.899891	231.250000	6029.040039	601.000000	15;
311.067047	3.261567	1990.310059	6029.040039	5184.000000	15;
