Setting solenoid 2 amount 1
Setting solenoid 1 amount 1
19177613 0 1 478.78 358.72 67.750000
19180849 0 1 478.76 358.74 67.757813
19184098 0 1 481.00 364.34 67.773438
19186032 0 1 481.40 365.84 67.515625
19189195 0 1 481.88 370.08 67.570313
19192416 0 1 483.11 372.74 67.531250
19194358 0 1 483.06 372.81 67.554688
19197462 0 1 483.37 373.82 67.585938
19200756 0 1 483.73 374.77 67.593750
19203994 0 1 484.81 375.58 67.687500
19205979 0 1 483.93 375.91 67.671875
19209086 0 1 484.58 376.50 67.554688
19212336 0 1 485.51 376.12 67.554688
19215620 0 1 485.85 377.09 67.570313
19218962 0 1 484.87 377.54 67.593750
19222223 0 1 485.72 377.25 67.625000
19224193 0 1 485.14 378.60 67.640625
19227280 0 1 485.22 378.51 67.609375
19230543 0 1 485.25 378.46 67.593750
19232501 0 1 485.82 378.51 67.742188
19235582 0 1 486.29 379.32 67.703125
19238824 0 1 486.22 379.41 67.734375
19240785 0 1 486.39 379.21 67.664063
19243844 0 1 486.33 379.28 67.687500
19245799 0 1 486.29 379.32 67.703125
19248940 0 1 486.37 379.23 67.671875
19252177 0 1 486.26 379.37 67.718750
19255410 0 1 486.62 380.32 67.726563
19257410 0 1 486.48 380.48 67.781250
19260550 0 1 486.44 380.52 67.796875
19263745 0 1 485.52 380.90 67.796875
19267028 0 1 485.59 380.81 67.765625
19270358 0 1 485.48 380.95 67.812500
19273620 0 1 486.27 380.73 67.867188
19275581 0 1 486.31 380.68 67.851563
19278687 0 1 486.23 380.77 67.882813
19281905 0 1 486.08 380.95 67.945313
19283866 0 1 486.12 380.91 67.929688
19286974 0 1 486.00 381.04 67.976563
19290254 0 1 485.93 381.13 68.007813
19293518 0 1 484.92 381.60 68.039063
19295504 0 1 486.04 381.00 67.960938
19298592 0 1 485.85 381.22 68.039063
19300534 0 1 485.79 381.29 68.062500
19303653 0 1 485.75 381.34 68.078125
19305591 0 1 484.73 381.82 68.117188
19308649 0 1 485.69 381.41 68.101563
19311886 0 1 485.69 381.41 68.101563
19315140 0 1 484.61 381.96 68.164063
19317064 0 1 484.71 381.85 68.125000
19320261 0 1 484.79 381.76 68.093750
19323497 0 1 484.32 380.94 68.132813
19326751 0 1 484.39 380.85 68.101563
19328677 0 1 484.30 380.96 68.140625
19331871 0 1 484.32 380.94 68.132813
19335106 0 1 484.39 380.85 68.101563
19338357 0 1 484.49 380.74 68.062500
19340283 0 1 484.43 380.81 68.085938
19343475 0 1 484.47 380.76 68.070313
19346671 0 1 484.39 380.85 68.101563
19348611 0 1 484.32 380.94 68.132813
19351716 0 1 484.20 381.07 68.179688
19355000 0 1 484.34 380.92 68.125000
19358239 0 1 484.39 380.85 68.101563
19360226 0 1 484.28 380.98 68.148438
19363286 0 1 484.20 381.07 68.179688
19366568 0 1 484.24 381.03 68.164063
19368507 0 1 484.30 380.96 68.140625
19371567 0 1 484.39 380.85 68.101563
19374804 0 1 484.32 380.94 68.132813
19376788 0 1 484.43 380.81 68.085938
19379902 0 1 484.55 380.67 68.039063
19383141 0 1 484.47 380.76 68.070313
19385109 0 1 483.62 381.04 68.039063
19388225 0 1 484.68 380.51 67.984375
19391468 0 1 484.76 380.42 67.953125
19394706 0 1 484.78 380.40 67.945313
19396679 0 1 484.89 380.27 67.898438
19511384 0 1 519.20 142.41 0.117188
19514645 0 1 519.20 142.41 0.117188
19516608 0 1 518.11 142.22 0.062500
19519747 0 1 515.09 143.19 0.054688
19522937 0 1 513.05 143.11 0.031250
19524886 0 1 513.04 143.08 0.023438
19528000 0 1 512.01 142.03 0.007813
19531264 0 1 511.12 142.23 0.070313
19534499 0 1 511.21 142.42 0.125000
19536495 0 1 511.31 142.60 0.179688
19539609 0 1 512.39 142.76 0.226563
19542882 0 1 512.35 142.68 0.203125
19546119 0 1 512.31 142.60 0.179688
19548111 0 1 512.25 142.50 0.148438
19551226 0 1 513.19 142.37 0.109375
19554505 0 1 513.16 142.32 0.093750
19557744 0 1 514.15 142.29 0.085938
19559733 0 1 514.09 142.19 0.054688
19562850 0 1 514.05 142.11 0.031250
19566085 0 1 514.03 142.05 0.015625
19567984 0 1 515.00 142.00 0.000000
19571208 0 1 514.96 141.92 -0.023438
19574437 0 1 514.92 141.84 -0.046875
19576369 0 1 514.89 141.79 -0.062500
19579466 0 1 514.92 141.84 -0.046875
19582703 0 1 514.92 141.84 -0.046875
19585953 0 1 514.89 141.79 -0.062500
19587903 0 1 514.89 141.79 -0.062500
19591078 0 1 513.92 141.84 -0.046875
19594315 0 1 513.93 141.87 -0.039063
19597565 0 1 513.95 141.89 -0.031250
19599529 0 1 513.96 141.92 -0.023438
19602693 0 1 513.93 141.87 -0.039063
19605931 0 1 513.89 141.79 -0.062500
19609177 0 1 513.91 141.81 -0.054688
19611122 0 1 513.87 141.74 -0.078125
19614302 0 1 513.88 141.76 -0.070313
19617495 0 1 513.88 141.76 -0.070313
19619444 0 1 513.89 141.79 -0.062500
19622547 0 1 513.89 141.79 -0.062500
19625826 0 1 513.88 141.76 -0.070313
19629062 0 1 513.89 141.79 -0.062500
19631050 0 1 513.89 141.79 -0.062500
19634153 0 1 513.93 141.87 -0.039063
19637438 0 1 513.93 141.87 -0.039063
19640678 0 1 513.99 141.97 -0.007813
19642676 0 1 514.01 142.03 0.007813
19645769 0 1 514.05 142.11 0.031250
19649049 0 1 514.08 142.16 0.046875
19652287 0 1 514.07 142.13 0.039063
19654283 0 1 514.04 142.08 0.023438
19657387 0 1 514.03 142.05 0.015625
19660727 0 1 514.03 142.05 0.015625
19663972 0 1 514.04 142.08 0.023438
19667267 0 1 514.04 142.08 0.023438
19670581 0 1 514.03 142.05 0.015625
19673893 0 1 514.03 142.05 0.015625
19677238 0 1 514.01 142.03 0.007813
19679164 0 1 514.00 142.00 0.000000
19682239 0 1 514.00 142.00 0.000000
19685459 0 1 514.01 142.03 0.007813
19687319 0 1 514.00 142.00 0.000000
19690513 0 1 514.00 142.00 0.000000
19693806 0 1 513.97 141.95 -0.015625
19697076 0 1 513.96 141.92 -0.023438
19699039 0 1 513.93 141.87 -0.039063
19702156 0 1 513.92 141.84 -0.046875
19705372 0 1 513.93 141.87 -0.039063
19707345 0 1 513.92 141.84 -0.046875
19710433 0 1 513.92 141.84 -0.046875
19713651 0 1 513.92 141.84 -0.046875
19715618 0 1 513.95 141.89 -0.031250
19718737 0 1 513.95 141.89 -0.031250
19721985 0 1 513.91 141.81 -0.054688
19723944 0 1 513.92 141.84 -0.046875
19727003 0 1 513.95 141.89 -0.031250
19729009 0 1 513.95 141.89 -0.031250
19732100 0 1 513.97 141.95 -0.015625
19735382 0 1 513.93 141.87 -0.039063
19738630 0 1 513.96 141.92 -0.023438
19741962 0 1 513.96 141.92 -0.023438
19745267 0 1 513.96 141.92 -0.023438
19748504 0 1 513.97 141.95 -0.015625
19750471 0 1 513.96 141.92 -0.023438
19753619 0 1 513.93 141.87 -0.039063
19756841 0 1 513.93 141.87 -0.039063
19758812 0 1 513.95 141.89 -0.031250
19761956 0 1 513.93 141.87 -0.039063
19765187 0 1 513.96 141.92 -0.023438
19768466 0 1 513.93 141.87 -0.039063
