ImageX	ImageY	BModeResponse	DopplerResponse	DopplerCentroidDistance	frame
[
342.300049	167.000000	-107374176.000000	-107374176.000000	-107374176.000000	2;
348.840637	163.000000	-107374176.000000	-107374176.000000	-107374176.000000	3;
341.279205	171.000000	-107374176.000000	-107374176.000000	-107374176.000000	4;
342.493317	168.000000	-107374176.000000	-107374176.000000	-107374176.000000	5;
350.446106	160.000000	-107374176.000000	-107374176.000000	-107374176.000000	6;
343.541687	170.000000	-107374176.000000	-107374176.000000	-107374176.000000	7;
344.956390	178.000000	-107374176.000000	-107374176.000000	-107374176.000000	8;
353.557983	182.000000	-107374176.000000	-107374176.000000	-107374176.000000	9;
354.752686	183.000000	-107374176.000000	-107374176.000000	-107374176.000000	10;
355.896942	188.000000	-107374176.000000	-107374176.000000	-107374176.000000	11;
360.183594	189.000000	-107374176.000000	-107374176.000000	-107374176.000000	12;
360.999023	189.000000	-107374176.000000	-107374176.000000	-107374176.000000	13;
358.201508	191.000000	-107374176.000000	-107374176.000000	-107374176.000000	14;
357.685852	188.000000	-107374176.000000	-107374176.000000	-107374176.000000	15;
365.863800	194.000000	-107374176.000000	-107374176.000000	-107374176.000000	16;
363.822113	195.000000	-107374176.000000	-107374176.000000	-107374176.000000	17;
362.641968	197.000000	-107374176.000000	-107374176.000000	-107374176.000000	18;
361.202698	196.000000	-107374176.000000	-107374176.000000	-107374176.000000	19;
363.982788	198.000000	-107374176.000000	-107374176.000000	-107374176.000000	20;
378.124268	203.000000	-107374176.000000	-107374176.000000	-107374176.000000	21;
377.646942	201.000000	-107374176.000000	-107374176.000000	-107374176.000000	22;
376.103088	201.000000	-107374176.000000	-107374176.000000	-107374176.000000	23;
374.416595	203.000000	-107374176.000000	-107374176.000000	-107374176.000000	24;
378.695953	204.000000	-107374176.000000	-107374176.000000	-107374176.000000	25;
381.688202	204.000000	-107374176.000000	-107374176.000000	-107374176.000000	26;
384.307556	208.000000	-107374176.000000	-107374176.000000	-107374176.000000	27;
387.451355	211.000000	-107374176.000000	-107374176.000000	-107374176.000000	28;
387.589111	208.000000	-107374176.000000	-107374176.000000	-107374176.000000	29;
388.964081	208.000000	-107374176.000000	-107374176.000000	-107374176.000000	30;
389.533752	208.000000	-107374176.000000	-107374176.000000	-107374176.000000	31;
394.613617	209.000000	-107374176.000000	-107374176.000000	-107374176.000000	32;
398.704620	210.000000	-107374176.000000	-107374176.000000	-107374176.000000	33;
394.228271	210.000000	-107374176.000000	-107374176.000000	-107374176.000000	34;
391.042297	209.000000	-107374176.000000	-107374176.000000	-107374176.000000	35;
390.641083	214.000000	-107374176.000000	-107374176.000000	-107374176.000000	36;
391.906769	214.000000	-107374176.000000	-107374176.000000	-107374176.000000	37;
398.513306	213.000000	-107374176.000000	-107374176.000000	-107374176.000000	38;
408.899139	214.000000	-107374176.000000	-107374176.000000	-107374176.000000	39;
408.784454	212.000000	-107374176.000000	-107374176.000000	-107374176.000000	40;
407.677155	212.000000	-107374176.000000	-107374176.000000	-107374176.000000	41;
404.164398	208.000000	-107374176.000000	-107374176.000000	-107374176.000000	42;
405.807648	212.000000	-107374176.000000	-107374176.000000	-107374176.000000	43;
410.202759	213.000000	-107374176.000000	-107374176.000000	-107374176.000000	44;
410.371429	212.000000	-107374176.000000	-107374176.000000	-107374176.000000	45;
411.673950	212.000000	-107374176.000000	-107374176.000000	-107374176.000000	46;
413.612000	213.000000	-107374176.000000	-107374176.000000	-107374176.000000	47;
415.027832	212.000000	-107374176.000000	-107374176.000000	-107374176.000000	48;
412.773010	210.000000	-107374176.000000	-107374176.000000	-107374176.000000	49;
410.178589	209.000000	-107374176.000000	-107374176.000000	-107374176.000000	50;
414.428864	207.000000	-107374176.000000	-107374176.000000	-107374176.000000	51;
421.150757	203.000000	-107374176.000000	-107374176.000000	-107374176.000000	52;
421.853363	215.000000	-107374176.000000	-107374176.000000	-107374176.000000	53;
419.424957	216.000000	-107374176.000000	-107374176.000000	-107374176.000000	54;
425.036652	217.000000	-107374176.000000	-107374176.000000	-107374176.000000	55;
430.071289	219.000000	-107374176.000000	-107374176.000000	-107374176.000000	56;
428.703674	221.000000	-107374176.000000	-107374176.000000	-107374176.000000	57;
424.428162	220.000000	-107374176.000000	-107374176.000000	-107374176.000000	58;
429.163147	221.000000	-107374176.000000	-107374176.000000	-107374176.000000	59;
426.500244	221.000000	-107374176.000000	-107374176.000000	-107374176.000000	60;
432.453674	222.000000	-107374176.000000	-107374176.000000	-107374176.000000	61;
434.612701	221.000000	-107374176.000000	-107374176.000000	-107374176.000000	62;
423.620544	221.000000	-107374176.000000	-107374176.000000	-107374176.000000	63;
435.052612	223.000000	-107374176.000000	-107374176.000000	-107374176.000000	64;
423.190674	221.000000	-107374176.000000	-107374176.000000	-107374176.000000	65;
442.637421	224.000000	-107374176.000000	-107374176.000000	-107374176.000000	66;
449.314362	224.000000	-107374176.000000	-107374176.000000	-107374176.000000	67;
447.469696	226.000000	-107374176.000000	-107374176.000000	-107374176.000000	68;
457.158569	224.000000	-107374176.000000	-107374176.000000	-107374176.000000	69;
445.043915	218.000000	-107374176.000000	-107374176.000000	-107374176.000000	70;
460.459259	227.000000	-107374176.000000	-107374176.000000	-107374176.000000	71;
459.241486	224.000000	-107374176.000000	-107374176.000000	-107374176.000000	72;
466.535278	224.000000	-107374176.000000	-107374176.000000	-107374176.000000	73;
458.094299	222.000000	-107374176.000000	-107374176.000000	-107374176.000000	74;
461.944305	222.000000	-107374176.000000	-107374176.000000	-107374176.000000	75;
465.299805	223.000000	-107374176.000000	-107374176.000000	-107374176.000000	76;
463.625458	223.000000	-107374176.000000	-107374176.000000	-107374176.000000	77;
472.645355	225.000000	-107374176.000000	-107374176.000000	-107374176.000000	78;
477.097748	224.000000	-107374176.000000	-107374176.000000	-107374176.000000	79;
479.152161	223.000000	-107374176.000000	-107374176.000000	-107374176.000000	80;
469.319275	222.000000	-107374176.000000	-107374176.000000	-107374176.000000	81;
476.177124	220.000000	-107374176.000000	-107374176.000000	-107374176.000000	82;
480.202026	221.000000	-107374176.000000	-107374176.000000	-107374176.000000	83;
472.758942	220.000000	-107374176.000000	-107374176.000000	-107374176.000000	84;
476.557312	220.000000	-107374176.000000	-107374176.000000	-107374176.000000	85;
472.228119	222.000000	-107374176.000000	-107374176.000000	-107374176.000000	86;
467.895599	224.000000	-107374176.000000	-107374176.000000	-107374176.000000	87;
463.971039	223.000000	-107374176.000000	-107374176.000000	-107374176.000000	88;
461.774933	223.000000	-107374176.000000	-107374176.000000	-107374176.000000	89;
457.549164	221.000000	-107374176.000000	-107374176.000000	-107374176.000000	90;
464.888367	225.000000	-107374176.000000	-107374176.000000	-107374176.000000	91;
463.819977	223.000000	-107374176.000000	-107374176.000000	-107374176.000000	92;
463.366913	222.000000	-107374176.000000	-107374176.000000	-107374176.000000	93;
465.400909	224.000000	-107374176.000000	-107374176.000000	-107374176.000000	94;
470.107971	222.000000	-107374176.000000	-107374176.000000	-107374176.000000	95;
470.659851	220.000000	-107374176.000000	-107374176.000000	-107374176.000000	96;
475.163605	222.000000	-107374176.000000	-107374176.000000	-107374176.000000	97;
474.257660	223.000000	-107374176.000000	-107374176.000000	-107374176.000000	98;
479.175598	227.000000	-107374176.000000	-107374176.000000	-107374176.000000	99;
476.742218	228.000000	-107374176.000000	-107374176.000000	-107374176.000000	100;
479.403412	225.000000	-107374176.000000	-107374176.000000	-107374176.000000	101;
480.561523	224.000000	-107374176.000000	-107374176.000000	-107374176.000000	102;
477.904968	229.000000	-107374176.000000	-107374176.000000	-107374176.000000	103;
475.131195	227.000000	-107374176.000000	-107374176.000000	-107374176.000000	104;
474.190186	226.000000	-107374176.000000	-107374176.000000	-107374176.000000	105;
472.840088	228.000000	-107374176.000000	-107374176.000000	-107374176.000000	106;
474.051819	234.000000	-107374176.000000	-107374176.000000	-107374176.000000	107;
467.988129	234.000000	-107374176.000000	-107374176.000000	-107374176.000000	108;
466.367828	234.000000	-107374176.000000	-107374176.000000	-107374176.000000	109;
455.477264	238.000000	-107374176.000000	-107374176.000000	-107374176.000000	110;
457.055542	227.000000	-107374176.000000	-107374176.000000	-107374176.000000	111;
441.780151	228.000000	-107374176.000000	-107374176.000000	-107374176.000000	112;
452.578033	228.000000	-107374176.000000	-107374176.000000	-107374176.000000	114;
428.674377	227.000000	-107374176.000000	-107374176.000000	-107374176.000000	116;
475.799988	255.000000	-107374176.000000	-107374176.000000	-107374176.000000	117;
473.393951	256.000000	-107374176.000000	-107374176.000000	-107374176.000000	119;
];
