ImageX	ImageY	BModeResponse	DopplerResponse	DopplerCentroidDistance	frame
[
366.915070	48.000000	-107374176.000000	-107374176.000000	-107374176.000000	2;
367.434662	47.000000	-107374176.000000	-107374176.000000	-107374176.000000	3;
364.521545	46.000000	-107374176.000000	-107374176.000000	-107374176.000000	4;
359.867065	46.000000	-107374176.000000	-107374176.000000	-107374176.000000	5;
357.486633	45.000000	-107374176.000000	-107374176.000000	-107374176.000000	6;
356.685425	46.000000	-107374176.000000	-107374176.000000	-107374176.000000	7;
357.712372	44.000000	-107374176.000000	-107374176.000000	-107374176.000000	8;
358.225739	44.000000	-107374176.000000	-107374176.000000	-107374176.000000	9;
355.424286	45.000000	-107374176.000000	-107374176.000000	-107374176.000000	10;
355.544891	45.000000	-107374176.000000	-107374176.000000	-107374176.000000	11;
354.519318	45.000000	-107374176.000000	-107374176.000000	-107374176.000000	12;
355.197571	46.000000	-107374176.000000	-107374176.000000	-107374176.000000	13;
353.544983	44.000000	-107374176.000000	-107374176.000000	-107374176.000000	14;
340.178650	45.000000	-107374176.000000	-107374176.000000	-107374176.000000	15;
308.507416	48.000000	-107374176.000000	-107374176.000000	-107374176.000000	16;
310.594971	44.000000	-107374176.000000	-107374176.000000	-107374176.000000	17;
305.351349	44.000000	-107374176.000000	-107374176.000000	-107374176.000000	18;
306.166931	43.000000	-107374176.000000	-107374176.000000	-107374176.000000	19;
308.877563	43.000000	-107374176.000000	-107374176.000000	-107374176.000000	20;
307.379364	42.000000	-107374176.000000	-107374176.000000	-107374176.000000	21;
303.469879	41.000000	-107374176.000000	-107374176.000000	-107374176.000000	22;
296.528320	39.000000	-107374176.000000	-107374176.000000	-107374176.000000	23;
284.226318	41.000000	-107374176.000000	-107374176.000000	-107374176.000000	24;
276.966217	46.000000	-107374176.000000	-107374176.000000	-107374176.000000	25;
270.453888	50.000000	-107374176.000000	-107374176.000000	-107374176.000000	26;
264.247070	48.000000	-107374176.000000	-107374176.000000	-107374176.000000	27;
265.325928	47.000000	-107374176.000000	-107374176.000000	-107374176.000000	28;
257.862000	48.000000	-107374176.000000	-107374176.000000	-107374176.000000	29;
257.737091	48.000000	-107374176.000000	-107374176.000000	-107374176.000000	30;
256.900269	50.000000	-107374176.000000	-107374176.000000	-107374176.000000	31;
255.182266	54.000000	-107374176.000000	-107374176.000000	-107374176.000000	32;
254.589539	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	33;
246.940384	59.000000	-107374176.000000	-107374176.000000	-107374176.000000	34;
245.319168	65.000000	-107374176.000000	-107374176.000000	-107374176.000000	35;
242.209488	63.000000	-107374176.000000	-107374176.000000	-107374176.000000	36;
238.954636	67.000000	-107374176.000000	-107374176.000000	-107374176.000000	37;
238.595795	66.000000	-107374176.000000	-107374176.000000	-107374176.000000	38;
237.521576	65.000000	-107374176.000000	-107374176.000000	-107374176.000000	39;
238.611343	62.000000	-107374176.000000	-107374176.000000	-107374176.000000	40;
237.351089	66.000000	-107374176.000000	-107374176.000000	-107374176.000000	41;
239.696823	64.000000	-107374176.000000	-107374176.000000	-107374176.000000	42;
241.767776	63.000000	-107374176.000000	-107374176.000000	-107374176.000000	43;
244.460220	62.000000	-107374176.000000	-107374176.000000	-107374176.000000	44;
251.138077	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	45;
249.926025	59.000000	-107374176.000000	-107374176.000000	-107374176.000000	46;
253.097855	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	47;
256.341705	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	48;
257.358521	62.000000	-107374176.000000	-107374176.000000	-107374176.000000	49;
257.157135	63.000000	-107374176.000000	-107374176.000000	-107374176.000000	50;
258.554199	64.000000	-107374176.000000	-107374176.000000	-107374176.000000	51;
259.155853	65.000000	-107374176.000000	-107374176.000000	-107374176.000000	52;
255.986664	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	53;
255.420517	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	54;
256.929718	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	55;
258.797821	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	56;
252.835327	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	57;
251.789871	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	58;
255.447021	55.000000	-107374176.000000	-107374176.000000	-107374176.000000	59;
253.715591	54.000000	-107374176.000000	-107374176.000000	-107374176.000000	60;
249.829330	55.000000	-107374176.000000	-107374176.000000	-107374176.000000	61;
254.171234	55.000000	-107374176.000000	-107374176.000000	-107374176.000000	62;
262.279541	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	63;
264.955566	55.000000	-107374176.000000	-107374176.000000	-107374176.000000	64;
264.546783	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	65;
273.709290	53.000000	-107374176.000000	-107374176.000000	-107374176.000000	66;
271.875519	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	67;
276.781982	53.000000	-107374176.000000	-107374176.000000	-107374176.000000	68;
277.066772	55.000000	-107374176.000000	-107374176.000000	-107374176.000000	69;
278.126190	54.000000	-107374176.000000	-107374176.000000	-107374176.000000	70;
274.951263	55.000000	-107374176.000000	-107374176.000000	-107374176.000000	71;
273.033997	55.000000	-107374176.000000	-107374176.000000	-107374176.000000	72;
274.358063	54.000000	-107374176.000000	-107374176.000000	-107374176.000000	73;
272.621246	53.000000	-107374176.000000	-107374176.000000	-107374176.000000	74;
269.654877	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	75;
267.619476	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	76;
269.638916	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	77;
269.560822	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	78;
270.268097	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	79;
272.598053	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	80;
273.124481	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	81;
273.549744	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	82;
274.081421	54.000000	-107374176.000000	-107374176.000000	-107374176.000000	83;
271.594421	54.000000	-107374176.000000	-107374176.000000	-107374176.000000	84;
270.585724	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	85;
270.833649	52.000000	-107374176.000000	-107374176.000000	-107374176.000000	86;
274.225220	55.000000	-107374176.000000	-107374176.000000	-107374176.000000	87;
272.823730	67.000000	-107374176.000000	-107374176.000000	-107374176.000000	88;
272.536926	59.000000	-107374176.000000	-107374176.000000	-107374176.000000	89;
275.786682	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	90;
277.517975	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	91;
278.535522	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	92;
276.791901	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	93;
273.187256	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	94;
269.468628	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	95;
271.069427	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	96;
275.256958	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	97;
269.624390	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	98;
278.697693	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	99;
277.857788	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	100;
278.429260	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	101;
276.787598	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	102;
276.074463	59.000000	-107374176.000000	-107374176.000000	-107374176.000000	103;
273.706177	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	104;
274.762268	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	105;
276.305817	59.000000	-107374176.000000	-107374176.000000	-107374176.000000	106;
271.404785	55.000000	-107374176.000000	-107374176.000000	-107374176.000000	107;
275.535217	63.000000	-107374176.000000	-107374176.000000	-107374176.000000	108;
272.971710	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	109;
275.165131	59.000000	-107374176.000000	-107374176.000000	-107374176.000000	110;
270.472595	59.000000	-107374176.000000	-107374176.000000	-107374176.000000	111;
266.521881	62.000000	-107374176.000000	-107374176.000000	-107374176.000000	112;
271.430145	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	113;
267.582489	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	114;
263.366302	59.000000	-107374176.000000	-107374176.000000	-107374176.000000	115;
268.051086	59.000000	-107374176.000000	-107374176.000000	-107374176.000000	116;
267.129822	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	117;
262.165222	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	118;
261.997498	64.000000	-107374176.000000	-107374176.000000	-107374176.000000	119;
258.853638	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	120;
252.679504	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	121;
254.233597	65.000000	-107374176.000000	-107374176.000000	-107374176.000000	122;
251.799576	68.000000	-107374176.000000	-107374176.000000	-107374176.000000	123;
252.665329	69.000000	-107374176.000000	-107374176.000000	-107374176.000000	124;
255.795380	66.000000	-107374176.000000	-107374176.000000	-107374176.000000	125;
259.587616	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	126;
259.783112	68.000000	-107374176.000000	-107374176.000000	-107374176.000000	127;
263.076904	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	128;
261.475159	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	129;
263.579498	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	130;
268.809479	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	131;
266.510681	55.000000	-107374176.000000	-107374176.000000	-107374176.000000	132;
264.105133	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	133;
268.626740	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	134;
256.759735	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	135;
259.144135	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	136;
266.852783	55.000000	-107374176.000000	-107374176.000000	-107374176.000000	137;
265.656433	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	138;
255.520966	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	139;
257.125000	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	140;
253.453644	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	141;
257.423950	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	142;
254.008118	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	143;
252.707718	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	144;
252.626190	59.000000	-107374176.000000	-107374176.000000	-107374176.000000	145;
246.442139	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	146;
247.847580	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	147;
239.610062	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	148;
240.083740	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	149;
238.751709	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	150;
239.475143	72.000000	-107374176.000000	-107374176.000000	-107374176.000000	151;
236.023438	70.000000	-107374176.000000	-107374176.000000	-107374176.000000	152;
232.890274	59.000000	-107374176.000000	-107374176.000000	-107374176.000000	153;
223.385788	73.000000	-107374176.000000	-107374176.000000	-107374176.000000	154;
218.987198	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	155;
216.086838	59.000000	-107374176.000000	-107374176.000000	-107374176.000000	156;
213.628830	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	157;
207.267349	53.000000	-107374176.000000	-107374176.000000	-107374176.000000	158;
211.872055	55.000000	-107374176.000000	-107374176.000000	-107374176.000000	159;
221.259644	54.000000	-107374176.000000	-107374176.000000	-107374176.000000	160;
222.899536	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	161;
223.418930	53.000000	-107374176.000000	-107374176.000000	-107374176.000000	162;
219.869995	53.000000	-107374176.000000	-107374176.000000	-107374176.000000	163;
223.603394	53.000000	-107374176.000000	-107374176.000000	-107374176.000000	164;
225.714584	51.000000	-107374176.000000	-107374176.000000	-107374176.000000	165;
