ImageX	ImageY	BModeResponse	DopplerResponse	DopplerCentroidDistance	frame
[
310.929718	75.000000	-107374176.000000	-107374176.000000	-107374176.000000	2;
309.814819	68.000000	-107374176.000000	-107374176.000000	-107374176.000000	3;
308.609314	68.000000	-107374176.000000	-107374176.000000	-107374176.000000	4;
311.475586	73.000000	-107374176.000000	-107374176.000000	-107374176.000000	5;
316.505890	74.000000	-107374176.000000	-107374176.000000	-107374176.000000	6;
315.457581	64.000000	-107374176.000000	-107374176.000000	-107374176.000000	7;
315.943085	70.000000	-107374176.000000	-107374176.000000	-107374176.000000	8;
313.193756	77.000000	-107374176.000000	-107374176.000000	-107374176.000000	9;
314.987335	68.000000	-107374176.000000	-107374176.000000	-107374176.000000	10;
313.392456	66.000000	-107374176.000000	-107374176.000000	-107374176.000000	11;
313.967896	66.000000	-107374176.000000	-107374176.000000	-107374176.000000	12;
310.992310	71.000000	-107374176.000000	-107374176.000000	-107374176.000000	13;
313.043243	70.000000	-107374176.000000	-107374176.000000	-107374176.000000	14;
311.814819	71.000000	-107374176.000000	-107374176.000000	-107374176.000000	15;
311.279114	67.000000	-107374176.000000	-107374176.000000	-107374176.000000	16;
310.261200	67.000000	-107374176.000000	-107374176.000000	-107374176.000000	17;
330.480347	68.000000	-107374176.000000	-107374176.000000	-107374176.000000	18;
337.276642	71.000000	-107374176.000000	-107374176.000000	-107374176.000000	19;
336.830414	70.000000	-107374176.000000	-107374176.000000	-107374176.000000	20;
341.885101	76.000000	-107374176.000000	-107374176.000000	-107374176.000000	21;
339.395203	78.000000	-107374176.000000	-107374176.000000	-107374176.000000	22;
349.643585	76.000000	-107374176.000000	-107374176.000000	-107374176.000000	23;
351.518494	89.000000	-107374176.000000	-107374176.000000	-107374176.000000	24;
356.648712	88.000000	-107374176.000000	-107374176.000000	-107374176.000000	25;
354.971436	89.000000	-107374176.000000	-107374176.000000	-107374176.000000	26;
356.067352	92.000000	-107374176.000000	-107374176.000000	-107374176.000000	27;
356.384949	90.000000	-107374176.000000	-107374176.000000	-107374176.000000	28;
353.257904	89.000000	-107374176.000000	-107374176.000000	-107374176.000000	29;
353.533264	91.000000	-107374176.000000	-107374176.000000	-107374176.000000	30;
346.627869	93.000000	-107374176.000000	-107374176.000000	-107374176.000000	31;
338.925903	88.000000	-107374176.000000	-107374176.000000	-107374176.000000	32;
333.410156	85.000000	-107374176.000000	-107374176.000000	-107374176.000000	33;
333.757324	89.000000	-107374176.000000	-107374176.000000	-107374176.000000	34;
337.606354	78.000000	-107374176.000000	-107374176.000000	-107374176.000000	35;
333.258301	82.000000	-107374176.000000	-107374176.000000	-107374176.000000	36;
324.315582	86.000000	-107374176.000000	-107374176.000000	-107374176.000000	37;
333.505371	81.000000	-107374176.000000	-107374176.000000	-107374176.000000	38;
332.882629	77.000000	-107374176.000000	-107374176.000000	-107374176.000000	39;
332.668060	86.000000	-107374176.000000	-107374176.000000	-107374176.000000	40;
325.794769	89.000000	-107374176.000000	-107374176.000000	-107374176.000000	41;
322.936859	88.000000	-107374176.000000	-107374176.000000	-107374176.000000	42;
320.276520	100.000000	-107374176.000000	-107374176.000000	-107374176.000000	43;
324.434509	90.000000	-107374176.000000	-107374176.000000	-107374176.000000	44;
326.271484	95.000000	-107374176.000000	-107374176.000000	-107374176.000000	45;
322.932800	93.000000	-107374176.000000	-107374176.000000	-107374176.000000	46;
324.668091	93.000000	-107374176.000000	-107374176.000000	-107374176.000000	47;
328.141876	101.000000	-107374176.000000	-107374176.000000	-107374176.000000	48;
326.161926	96.000000	-107374176.000000	-107374176.000000	-107374176.000000	49;
327.304901	91.000000	-107374176.000000	-107374176.000000	-107374176.000000	50;
323.664734	87.000000	-107374176.000000	-107374176.000000	-107374176.000000	51;
323.258301	90.000000	-107374176.000000	-107374176.000000	-107374176.000000	52;
318.520233	83.000000	-107374176.000000	-107374176.000000	-107374176.000000	53;
319.570953	101.000000	-107374176.000000	-107374176.000000	-107374176.000000	54;
318.513947	101.000000	-107374176.000000	-107374176.000000	-107374176.000000	55;
316.805664	100.000000	-107374176.000000	-107374176.000000	-107374176.000000	56;
311.066956	103.000000	-107374176.000000	-107374176.000000	-107374176.000000	57;
309.713959	111.000000	-107374176.000000	-107374176.000000	-107374176.000000	58;
311.280121	115.000000	-107374176.000000	-107374176.000000	-107374176.000000	59;
312.924774	117.000000	-107374176.000000	-107374176.000000	-107374176.000000	60;
312.382294	113.000000	-107374176.000000	-107374176.000000	-107374176.000000	61;
314.887024	65.000000	-107374176.000000	-107374176.000000	-107374176.000000	62;
314.244019	74.000000	-107374176.000000	-107374176.000000	-107374176.000000	63;
321.293060	72.000000	-107374176.000000	-107374176.000000	-107374176.000000	64;
325.483826	79.000000	-107374176.000000	-107374176.000000	-107374176.000000	65;
323.868988	94.000000	-107374176.000000	-107374176.000000	-107374176.000000	66;
325.246857	75.000000	-107374176.000000	-107374176.000000	-107374176.000000	67;
327.378204	108.000000	-107374176.000000	-107374176.000000	-107374176.000000	68;
330.891144	108.000000	-107374176.000000	-107374176.000000	-107374176.000000	69;
335.179718	110.000000	-107374176.000000	-107374176.000000	-107374176.000000	70;
342.576080	113.000000	-107374176.000000	-107374176.000000	-107374176.000000	71;
341.526886	109.000000	-107374176.000000	-107374176.000000	-107374176.000000	72;
435.580536	150.000000	-107374176.000000	-107374176.000000	-107374176.000000	80;
430.463867	151.000000	-107374176.000000	-107374176.000000	-107374176.000000	81;
340.754730	123.000000	-107374176.000000	-107374176.000000	-107374176.000000	84;
361.307831	140.000000	-107374176.000000	-107374176.000000	-107374176.000000	85;
353.591705	143.000000	-107374176.000000	-107374176.000000	-107374176.000000	86;
354.844177	141.000000	-107374176.000000	-107374176.000000	-107374176.000000	87;
341.571655	118.000000	-107374176.000000	-107374176.000000	-107374176.000000	88;
340.541565	117.000000	-107374176.000000	-107374176.000000	-107374176.000000	89;
335.061890	111.000000	-107374176.000000	-107374176.000000	-107374176.000000	90;
343.702637	112.000000	-107374176.000000	-107374176.000000	-107374176.000000	91;
346.761047	114.000000	-107374176.000000	-107374176.000000	-107374176.000000	92;
351.222534	119.000000	-107374176.000000	-107374176.000000	-107374176.000000	93;
