ImageX	ImageY	BModeResponse	DopplerResponse	DopplerCentroidDistance	frame
[
310.929718	42.000000	-107374176.000000	-107374176.000000	-107374176.000000	2;
309.814819	40.000000	-107374176.000000	-107374176.000000	-107374176.000000	3;
308.609314	40.000000	-107374176.000000	-107374176.000000	-107374176.000000	4;
311.475586	40.000000	-107374176.000000	-107374176.000000	-107374176.000000	5;
316.505890	42.000000	-107374176.000000	-107374176.000000	-107374176.000000	6;
315.457581	40.000000	-107374176.000000	-107374176.000000	-107374176.000000	7;
315.943085	40.000000	-107374176.000000	-107374176.000000	-107374176.000000	8;
313.193756	42.000000	-107374176.000000	-107374176.000000	-107374176.000000	9;
314.987335	42.000000	-107374176.000000	-107374176.000000	-107374176.000000	10;
313.392456	42.000000	-107374176.000000	-107374176.000000	-107374176.000000	11;
313.967896	43.000000	-107374176.000000	-107374176.000000	-107374176.000000	12;
310.992310	43.000000	-107374176.000000	-107374176.000000	-107374176.000000	13;
313.043243	43.000000	-107374176.000000	-107374176.000000	-107374176.000000	14;
311.814819	43.000000	-107374176.000000	-107374176.000000	-107374176.000000	15;
311.279114	43.000000	-107374176.000000	-107374176.000000	-107374176.000000	16;
310.261200	44.000000	-107374176.000000	-107374176.000000	-107374176.000000	17;
330.480347	43.000000	-107374176.000000	-107374176.000000	-107374176.000000	18;
337.276642	46.000000	-107374176.000000	-107374176.000000	-107374176.000000	19;
336.830414	44.000000	-107374176.000000	-107374176.000000	-107374176.000000	20;
341.885101	50.000000	-107374176.000000	-107374176.000000	-107374176.000000	21;
339.395203	49.000000	-107374176.000000	-107374176.000000	-107374176.000000	22;
349.643585	49.000000	-107374176.000000	-107374176.000000	-107374176.000000	23;
351.518494	50.000000	-107374176.000000	-107374176.000000	-107374176.000000	24;
356.648712	47.000000	-107374176.000000	-107374176.000000	-107374176.000000	25;
354.971436	48.000000	-107374176.000000	-107374176.000000	-107374176.000000	26;
356.067352	50.000000	-107374176.000000	-107374176.000000	-107374176.000000	27;
356.384949	47.000000	-107374176.000000	-107374176.000000	-107374176.000000	28;
353.257904	49.000000	-107374176.000000	-107374176.000000	-107374176.000000	29;
353.533264	52.000000	-107374176.000000	-107374176.000000	-107374176.000000	30;
346.627869	52.000000	-107374176.000000	-107374176.000000	-107374176.000000	31;
