ImageX	ImageY	BModeResponse	DopplerResponse	DopplerCentroidDistance	frame
[
309.964325	47.919090	176.000000	4782.669922	576.000000	2;
289.502319	87.957520	81.680000	4782.669922	377.000000	2;
362.425476	219.701172	3001.489990	4782.669922	17424.000000	2;
362.425476	219.701172	3001.489990	4782.669922	17424.000000	2;
362.425476	219.701172	3001.489990	4782.669922	17424.000000	2;
362.425476	219.701172	3001.489990	4782.669922	17424.000000	2;
362.425476	219.701172	3001.489990	4782.669922	17424.000000	2;
309.499725	47.910896	164.529999	4764.379883	289.000000	3;
289.018738	87.951057	72.529999	4764.379883	580.000000	3;
385.905945	216.209549	2114.120117	4764.379883	19610.000000	3;
385.905945	216.209549	2114.120117	4764.379883	19610.000000	3;
385.905945	216.209549	2114.120117	4764.379883	19610.000000	3;
309.826721	47.935448	136.940002	4202.629883	289.000000	4;
338.944183	223.361038	3364.510010	4202.629883	20164.000000	4;
338.944183	223.361038	3364.510010	4202.629883	20164.000000	4;
338.944183	223.361038	3364.510010	4202.629883	20164.000000	4;
338.944183	223.361038	3364.510010	4202.629883	20164.000000	4;
338.944183	223.361038	3364.510010	4202.629883	20164.000000	4;
287.546783	87.495300	67.010002	4202.629883	580.000000	4;
311.588043	47.439541	198.229996	4520.029785	484.000000	5;
343.065399	222.587051	3591.850098	4520.029785	18496.000000	5;
343.065399	222.587051	3591.850098	4520.029785	18496.000000	5;
343.065399	222.587051	3591.850098	4520.029785	18496.000000	5;
343.065399	222.587051	3591.850098	4520.029785	18496.000000	5;
343.065399	222.587051	3591.850098	4520.029785	18496.000000	5;
287.520386	87.494446	67.489998	4520.029785	530.000000	5;
311.686859	47.454601	201.100006	4569.700195	529.000000	6;
350.778046	221.530365	3996.050049	4569.700195	17689.000000	6;
350.778046	221.530365	3996.050049	4569.700195	17689.000000	6;
350.778046	221.530365	3996.050049	4569.700195	17689.000000	6;
350.778046	221.530365	3996.050049	4569.700195	17689.000000	6;
350.778046	221.530365	3996.050049	4569.700195	17689.000000	6;
284.750366	87.063652	84.680000	4569.700195	720.000000	6;
317.663239	47.865437	182.589996	5053.359863	169.000000	7;
